Genre,TotalScore,Album Count
hip hop,1657,270
philly rap,34,7
pop rap,915,174
rap,1599,281
southern hip hop,743,127
trap,798,144
art pop,1534,236
austrian pop,19,3
melancholia,241,37
vienna indie,19,3
alternative hip hop,1011,146
east coast hip hop,173,27
emo rap,73,16
miami hip hop,99,18
underground hip hop,861,139
indie pop,1209,194
modern alternative rock,53,9
modern rock,916,157
nu gaze,625,100
pop,554,98
rock,732,126
escape room,1333,191
experimental hip hop,258,35
fluxwork,200,29
hyperpop,190,27
permanent wave,306,53
piano rock,52,8
post-grunge,186,33
melodic rap,160,32
nyc rap,24,4
queens hip hop,59,10
lgbtq+ hip hop,74,12
anti-folk,286,41
folk punk,68,10
lo-fi,675,102
alternative rock,1012,161
chamber pop,1213,183
dream pop,688,102
freak folk,1373,202
indie folk,588,89
indie rock,1816,287
modern folk rock,67,10
post-rock,389,57
singer-songwriter,398,59
slow core,433,62
stomp and holler,403,62
atl hip hop,304,55
dirty south rap,94,15
gangster rap,325,53
new orleans rap,29,6
boom bap,91,13
hardcore hip hop,153,23
west coast rap,61,8
dance pop,374,62
r&b en espanol,16,2
conscious hip hop,433,68
art rock,282,40
chamber psych,514,73
collage pop,64,9
electra,71,10
experimental pop,980,151
la indie,73,12
noise pop,1261,191
experimental rock,569,79
mathcore,163,23
noise rock,547,81
post-hardcore,212,31
rhode island indie,30,4
dark jazz,166,23
experimental,284,40
industrial,109,16
industrial rock,129,19
martial industrial,8,1
neofolk,8,1
neo-psychedelic,395,59
philly indie,113,18
alternative r&b,262,41
viral pop,11,2
contemporary country,28,5
country,17,3
country dawn,10,2
country road,17,3
modern country rock,6,1
abstract hip hop,141,21
chicago rap,190,31
doom metal,158,23
drone metal,271,40
groove metal,139,21
post-doom metal,417,60
post-metal,382,55
psychedelic doom,89,13
sludge metal,284,42
stoner metal,203,30
stoner rock,181,26
instrumental rock,15,2
dark trap,111,17
vapor trap,81,16
voidgaze,151,21
black metal,141,21
death metal,222,33
metal,167,27
polish black metal,16,2
polish death metal,16,2
polish metal,16,2
ambient folk,41,6
new weird america,111,15
dmv rap,45,9
future funk,40,6
ambient,164,24
canadian experimental,28,4
compositional ambient,168,26
drift,35,5
drone,106,16
dub techno,70,10
electronica,632,94
fourth world,90,13
intelligent dance music,255,37
microhouse,241,35
outsider house,120,18
vaporwave,111,16
warm drone,55,8
indie r&b,183,30
indie soul,362,55
neo r&b,12,2
irish singer-songwriter,6,1
milwaukee hip hop,42,6
boy band,32,4
boston rock,40,6
dance-punk,720,118
britpop,55,9
shoegaze,218,32
uk experimental electronic,83,12
hawaiian hip hop,3,1
chillwave,763,123
indietronica,1104,181
alternative metal,232,41
canadian ccm,13,2
canadian metal,55,8
canadian rock,41,7
christian alternative rock,16,3
christian rock,13,2
nu metal,123,22
rap metal,37,7
rap rock,18,3
bristol indie,17,2
english indie rock,44,6
funk,69,10
p funk,13,2
soul,68,10
detroit hip hop,98,16
g funk,25,5
alternative dance,821,134
garage rock,670,111
new rave,973,158
electropop,553,90
metropopolis,294,50
bay area indie,106,15
garage pop,100,15
garage psych,399,60
indie garage rock,239,36
psychedelic punk,33,5
punk blues,168,27
la pop,8,1
post-teen pop,111,20
brooklyn indie,212,33
atl trap,53,10
wonky,330,49
london indie,8,1
hip pop,32,5
avant-garde black metal,53,7
chaotic black metal,115,16
post-black metal,51,8
technical black metal,95,13
voidgrind,23,3
pittsburgh rap,31,6
cali rap,31,5
abstractro,31,5
hauntology,102,15
rochester ny indie,11,2
east anglia indie,7,1
drill,59,9
french shoegaze,19,4
shiver pop,31,5
baltimore indie,74,12
atmospheric black metal,211,32
blackgaze,102,15
usbm,131,19
baroque pop,207,33
uk alternative pop,45,7
avant-garde metal,98,15
swiss metal,8,1
r&b,91,14
urban contemporary,54,10
deep pop r&b,10,2
metallic hardcore,23,4
contemporary jazz,63,9
indie jazz,83,12
jazz saxophone,15,2
canadian hip hop,67,12
canadian pop,103,18
toronto rap,41,9
