Artist,Album,Score
Meek Mill,Championships,5
Soap&Skin,From Gas to Solid / You Are My Friend,4
"Black Thought, Salaam Remi","Streams of Thought, Vol. 2",7
XXXTENTACION,Skins,2
Ski Mask the Slump God,Stokeley,6
The 1975,A Brief Inquiry Into Online Relationships,6
Earl Sweatshirt,Some Rap Songs,8
Kai Whiston,Kai Whiston Bitch,7
J.I.D,DiCaprio 2,8
Onxy Collective,Lower East Side Suite Part Three,7
6ix9ine,Dummy Boy,4
"Tyler,the Creator",Music Inspired by Illumination & Dr. Seuss' The Grinch,3
Muse,Simulation Theory,5
Trippie Redd,A Love Letter To You 3,7
Jaden Smith,The Sunset Tapes: A Cool Tape Story,2
Anderson .Paak,Oxnard,8
Action Bronson,White Bronco,5
Lil Peep,"Come On Over When You're Sober, Pt.2",4
Jeffrey Lewis,Works by Tuli Kupferberg (1923-2010),7
Sun Kil Moon,This Is My Dinner,6
Metro Boomin,Not All Heroes Wear Capes,6
Takeoff,The Last Rocket,4
"Curren$y, Freddie Gibbs, The Alchemist",Fetti,7
Poppy,Am I a Girl?,7
Rosalía,El mal querer,8
Vince Staples,FM!,7
Julia Holter,Aviary,8
Daughters,You Won't Get What You Want,10
Current 93,The Light Is Leaving Us All,8
Kurt Vile,Bottle It In,6
Joji,Ballads 1,5
Lil Yatchy,Nuthin' 2 Prove,2
Little Big,Antipositive Part 2,6
Open Mike Eagle,What Happens When I Try To Relax,7
"Future, Juice WRLD",WRLD on Drugs,5
High on Fire,Electric Messiah,6
Polyphia,New Levels New Devils,8
City Morgue,Vol. 1: Hell or High Water,6
Quavo,Quavo Huncho,4
Clarence Clarity,Think: Peace,7
Horrendous,Idol,9
Sheck Wes,Mudboy,6
Behemoth,I Loved You at Your Darkest,7
Marissa Nadler,For My Crimes,7
twenty one pilots,Trench,8
Logic,YSIV,5
Kero Kero Bonito,Time 'n' Place,8
Tim Hecker,Konoyo,6
Lil Wayne,Tha Carter V,6
Lupe Fiasco,DROGAS Wave,7
JMSN,Velvet,7
Hozier,Nina Cried Power,6
milo,budding ornithologists are weary of tired analogies,6
Brockhampton,iridescense,7
Guerilla Toss,Twisted Crystal,8
Spiritualized,And Nothing Hurt,7
6LACK,East Atlanta Love Letter,4
Noname,Room 25,8
Aphex Twin,Collaspe,8
Russ,Zoo,3
Yves Tumor,Safe in the Hands of Love,7
$uicideBoy$,I Want To Die in New Orleans,6
Thou,Magnus,6
Okonolo,Cantos,7
Armand Hammer,Paraffin,8
IDLES,Joy as an Act of Resistance,9
George Clinton,Slide,7
Eminem,Kamikaze,4
Interpol,Marauder,4
Blood Orange,Negro Swan,8
Oh Sees,Smote Reverser,6
Hermit and the Recluse,Orpheus vs. the Sirens,8
Louis Cole,Time,8
Ariana Grande,Sweetener,7
Mitski,Be The Cowboy,6
Young Thug,Slime Language,5
Iglooghost,Steel Mogu,7
Iglooghost,Clear Tamei,8
Trippie Redd,Life's a Trip,5
HMLTD,Hate Music Last Time Delete,8
Nicki Minaj,Queen,5
Valee,"Good Job, You Found Me",3
Imperial Triumphant,Vile Luxury,8
Mac Miller,Swimming,3
YG,Stay Dangerous,5
Travis Scott,Astroworld,7
James Ferraro,Four Pieces for Mirai,7
Let's Eat Grandma,I'm All Ears,7
Denzel Curry,TA13OO,8
Melody's Echo Chamber,Bon Voyage,7
88rising,Head in the Clouds,5
The Internet,Hive Mind,7
Busdriver,Electricity is on our Side,5
Dirty Projectors,Lamp Lit Prose,6
Snail Mail,Lush,7
Haru Nemuri,Haru to Shura,8
Deafheaven,Ordinary Corrupt Human Love,5
serpentwithfeet,soil,7
Florence + The Machine,High As Hope,7
Zeal & Ardor,Stranger Fruit,8
The Carters,Everything Is Love,5
Teyena Taylor,K.T.S.E.,6
Vein,Errorzone,6
Kamasi Washington,Heaven and Earth,6
Gorillaz,The Now Now,6
Jay Rock,Redemption,4
Drake,Scorpion,4
Nine Inch Nails,Bad Witch,7
Death Grips,Year of the Snitch,9
Rico Nasty,Nasty,6
SOPHIE,Oil of Every Pearl's Un-Insides,8
Nas,Nasir,6
Bladee,Red Light,1
LUMP,LUMP,7
Tropical Fuckstorm,A Laughing Death in Meatspace,8
Big Ups,Two Parts Together,6
"Black Thought, 9th Wonder","Streams of Thought, Vol. 1",8
Tierra Whack,Tierra Whack,7
KIDS SEE GHOSTS,KIDS SEE GHOSTS,10
Ghost,Prequelle,8
Father John Misty,God's Favorite Customer,7
Oneohtrix Point Never,Age Of,6
Juice WRLD,Goodbye & Good Riddance,5
Kanye West,ye,8
NIKI,Zephyr,7
A$AP Rocky,Testing,4
BTS,Tear,6
Park Jiha,Communion,6
